measure,quantile,area,sex,age,geography,ethnic,value
lx,2.50%,01 Northland region,Female,0 years,Regional council,Total,100000
lx,2.50%,01 Northland region,Female,1-4 years,Regional council,Total,99427
lx,2.50%,01 Northland region,Female,5-9 years,Regional council,Total,99331
lx,2.50%,01 Northland region,Female,10-14 years,Regional council,Total,99276
lx,2.50%,01 Northland region,Female,15-19 years,Regional council,Total,99198
lx,2.50%,01 Northland region,Female,20-24 years,Regional council,Total,99012
lx,2.50%,01 Northland region,Female,25-29 years,Regional council,Total,98762
lx,2.50%,01 Northland region,Female,30-34 years,Regional council,Total,98518
lx,2.50%,01 Northland region,Female,35-39 years,Regional council,Total,98205
lx,2.50%,01 Northland region,Female,40-44 years,Regional council,Total,97818
lx,2.50%,01 Northland region,Female,45-49 years,Regional council,Total,97235
lx,2.50%,01 Northland region,Female,50-54 years,Regional council,Total,96195
lx,2.50%,01 Northland region,Female,55-59 years,Regional council,Total,94602
lx,2.50%,01 Northland region,Female,60-64 years,Regional council,Total,92472
lx,2.50%,01 Northland region,Female,65-69 years,Regional council,Total,89231
lx,2.50%,01 Northland region,Female,70-74 years,Regional council,Total,85001
lx,2.50%,01 Northland region,Female,75-79 years,Regional council,Total,78449
lx,2.50%,01 Northland region,Female,80-84 years,Regional council,Total,67374
lx,2.50%,01 Northland region,Female,85-89 years,Regional council,Total,50349
lx,2.50%,01 Northland region,Female,90 years,Regional council,Total,28811
lx,2.50%,01 Northland region,Male,0 years,Regional council,Total,100000
lx,2.50%,01 Northland region,Male,1-4 years,Regional council,Total,99322
lx,2.50%,01 Northland region,Male,5-9 years,Regional council,Total,99212
lx,2.50%,01 Northland region,Male,10-14 years,Regional council,Total,99142
lx,2.50%,01 Northland region,Male,15-19 years,Regional council,Total,99036
lx,2.50%,01 Northland region,Male,20-24 years,Regional council,Total,98692
lx,2.50%,01 Northland region,Male,25-29 years,Regional council,Total,98143
lx,2.50%,01 Northland region,Male,30-34 years,Regional council,Total,97603
lx,2.50%,01 Northland region,Male,35-39 years,Regional council,Total,96998
lx,2.50%,01 Northland region,Male,40-44 years,Regional council,Total,96223
lx,2.50%,01 Northland region,Male,45-49 years,Regional council,Total,95270
lx,2.50%,01 Northland region,Male,50-54 years,Regional council,Total,93771
lx,2.50%,01 Northland region,Male,55-59 years,Regional council,Total,91540
lx,2.50%,01 Northland region,Male,60-64 years,Regional council,Total,88328
lx,2.50%,01 Northland region,Male,65-69 years,Regional council,Total,84213
lx,2.50%,01 Northland region,Male,70-74 years,Regional council,Total,78289
lx,2.50%,01 Northland region,Male,75-79 years,Regional council,Total,69488
